"혈액원별(1)","수혈용량별(1)",2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"혈액원별(1)","수혈용량별(1)",합계,전혈제제,전혈제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,백혈구여과제거성분채혈 혈소판제제,백혈구여과제거성분채혈 혈소판제제,합계,전혈제제,전혈제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,백혈구여과제거성분채혈 혈소판제제,백혈구여과제거성분채혈 혈소판제제,합계,전혈제제,전혈제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,백혈구여과제거성분채혈 혈소판제제,백혈구여과제거성분채혈 혈소판제제,합계,전혈제제,전혈제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,백혈구여과제거성분채혈 혈소판제제,백혈구여과제거성분채혈 혈소판제제,백혈구여과제거성분채혈 혈소판제제,백혈구여과제거성분채혈 혈소판제제,백혈구여과제거성분채혈 혈소판제제,백혈구여과제거성분채혈 혈소판제제,합계,전혈제제,전혈제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,백혈구여과제거성분채혈 혈소판제제,백혈구여과제거성분채혈 혈소판제제,백혈구여과제거성분채혈 혈소판제제,백혈구여과제거성분채혈 혈소판제제,백혈구여과제거성분채혈 혈소판제제,백혈구여과제거성분채혈 혈소판제제,합계,전혈제제,전혈제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,백혈구여과제거성분채혈 혈소판제제,백혈구여과제거성분채혈 혈소판제제,백혈구여과제거성분채혈 혈소판제제,백혈구여과제거성분채혈 혈소판제제,백혈구여과제거성분채혈 혈소판제제,백혈구여과제거성분채혈 혈소판제제,합계,전혈제제,전혈제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,백혈구여과제거성분채혈 혈소판제제,백혈구여과제거성분채혈 혈소판제제,백혈구여과제거성분채혈 혈소판제제,백혈구여과제거성분채혈 혈소판제제,백혈구여과제거성분채혈 혈소판제제,백혈구여과제거성분채혈 혈소판제제,합계,전혈제제,전혈제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,백혈구여과제거성분채혈 혈소판제제,백혈구여과제거성분채혈 혈소판제제,백혈구여과제거성분채혈 혈소판제제,백혈구여과제거성분채혈 혈소판제제,백혈구여과제거성분채혈 혈소판제제,백혈구여과제거성분채혈 혈소판제제,합계,전혈제제,전혈제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,백혈구여과제거성분채혈 혈소판제제,백혈구여과제거성분채혈 혈소판제제,백혈구여과제거성분채혈 혈소판제제,백혈구여과제거성분채혈 혈소판제제,백혈구여과제거성분채혈 혈소판제제,백혈구여과제거성분채혈 혈소판제제,합계,전혈제제,전혈제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,성분제제,백혈구여과제거성분채혈 혈소판제제,백혈구여과제거성분채혈 혈소판제제,백혈구여과제거성분채혈 혈소판제제,백혈구여과제거성분채혈 혈소판제제,백혈구여과제거성분채혈 혈소판제제,백혈구여과제거성분채혈 혈소판제제
"혈액원별(1)","수혈용량별(1)",소계,소계,소계,소계,소계,적혈구,적혈구,적혈구,적혈구,적혈구,적혈구,농축백혈구,농축백혈구,혈소판,혈소판,혈소판,혈소판,혈장,혈장,혈장,혈장,혈장,혈장,소계,소계,소계,소계,소계,소계,소계,적혈구,적혈구,적혈구,적혈구,적혈구,적혈구,농축백혈구,농축백혈구,혈소판,혈소판,혈소판,혈소판,혈장,혈장,혈장,혈장,혈장,혈장,혈장,혈장,소계,소계,소계,소계,소계,소계,소계,적혈구,적혈구,적혈구,적혈구,적혈구,적혈구,농축백혈구,농축백혈구,혈소판,혈소판,혈소판,혈소판,혈장,혈장,혈장,혈장,혈장,혈장,혈장,혈장,소계,소계,소계,소계,소계,소계,소계,적혈구,적혈구,적혈구,적혈구,적혈구,적혈구,농축백혈구,농축백혈구,혈소판,혈소판,혈소판,혈소판,혈장,혈장,혈장,혈장,혈장,혈장,혈장,혈장,소계,소계,백혈구여과제거혈소판,백혈구여과제거혈소판,세척혈소판,세척혈소판,소계,소계,소계,소계,소계,적혈구,적혈구,적혈구,적혈구,적혈구,적혈구,농축백혈구,농축백혈구,혈소판,혈소판,혈소판,혈소판,혈장,혈장,혈장,혈장,혈장,혈장,혈장,혈장,소계,소계,백혈구여과제거혈소판,백혈구여과제거혈소판,세척혈소판,세척혈소판,소계,소계,소계,소계,소계,적혈구,적혈구,적혈구,적혈구,적혈구,적혈구,농축백혈구,농축백혈구,혈소판,혈소판,혈소판,혈소판,혈장,혈장,혈장,혈장,혈장,혈장,혈장,혈장,소계,소계,백혈구여과제거혈소판,백혈구여과제거혈소판,세척혈소판,세척혈소판,소계,소계,소계,소계,소계,적혈구,적혈구,적혈구,적혈구,적혈구,적혈구,농축백혈구,농축백혈구,혈소판,혈소판,혈소판,혈소판,혈장,혈장,혈장,혈장,혈장,혈장,혈장,혈장,소계,소계,백혈구여과제거혈소판,백혈구여과제거혈소판,세척혈소판,세척혈소판,소계,소계,소계,소계,소계,적혈구,적혈구,적혈구,적혈구,적혈구,적혈구,농축백혈구,농축백혈구,혈소판,혈소판,혈소판,혈소판,혈장,혈장,혈장,혈장,혈장,혈장,혈장,혈장,소계,소계,백혈구여과제거혈소판,백혈구여과제거혈소판,세척혈소판,세척혈소판,소계,소계,소계,소계,소계,적혈구,적혈구,적혈구,적혈구,적혈구,적혈구,농축백혈구,농축백혈구,혈소판,혈소판,혈소판,혈소판,혈장,혈장,혈장,혈장,혈장,혈장,혈장,혈장,소계,소계,백혈구여과제거혈소판,백혈구여과제거혈소판,세척혈소판,세척혈소판,소계,소계,소계,소계,소계,적혈구,적혈구,적혈구,적혈구,적혈구,적혈구,농축백혈구,농축백혈구,혈소판,혈소판,혈소판,혈소판,혈장,혈장,혈장,혈장,혈장,혈장,혈장,혈장,소계,소계,백혈구여과제거혈소판,백혈구여과제거혈소판,세척혈소판,세척혈소판
"혈액원별(1)","수혈용량별(1)",소계,소계,소계,소계,소계,농축적혈구,농축적혈구,세척적혈구,세척적혈구,백혈구여과제거적혈구,백혈구여과제거적혈구,소계,소계,농축혈소판,농축혈소판,혈소판풍부혈장,혈소판풍부혈장,신선동결혈장,신선동결혈장,동결침전제제,동결침전제제,동결 침전물제거 혈장,동결 침전물제거 혈장,소계,소계,소계,소계,소계,소계,소계,농축적혈구,농축적혈구,세척적혈구,세척적혈구,백혈구여과제거적혈구,백혈구여과제거적혈구,소계,소계,농축혈소판,농축혈소판,혈소판풍부혈장,혈소판풍부혈장,신선동결혈장,신선동결혈장,동결혈장,동결혈장,동결침전제제,동결침전제제,동결 침전물제거 혈장,동결 침전물제거 혈장,소계,소계,소계,소계,소계,소계,소계,농축적혈구,농축적혈구,세척적혈구,세척적혈구,백혈구여과제거적혈구,백혈구여과제거적혈구,소계,소계,농축혈소판,농축혈소판,혈소판풍부혈장,혈소판풍부혈장,신선동결혈장,신선동결혈장,동결혈장,동결혈장,동결침전제제,동결침전제제,동결 침전물제거 혈장,동결 침전물제거 혈장,소계,소계,소계,소계,소계,소계,소계,농축적혈구,농축적혈구,세척적혈구,세척적혈구,백혈구여과제거적혈구,백혈구여과제거적혈구,소계,소계,농축혈소판,농축혈소판,혈소판풍부혈장,혈소판풍부혈장,신선동결혈장,신선동결혈장,동결혈장,동결혈장,동결침전제제,동결침전제제,동결 침전물제거 혈장,동결 침전물제거 혈장,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,농축적혈구,농축적혈구,세척적혈구,세척적혈구,백혈구여과제거적혈구,백혈구여과제거적혈구,소계,소계,농축혈소판,농축혈소판,혈소판풍부혈장,혈소판풍부혈장,신선동결혈장,신선동결혈장,동결혈장,동결혈장,동결침전제제,동결침전제제,동결 침전물제거 혈장,동결 침전물제거 혈장,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,농축적혈구,농축적혈구,세척적혈구,세척적혈구,백혈구여과제거적혈구,백혈구여과제거적혈구,소계,소계,농축혈소판,농축혈소판,혈소판풍부혈장,혈소판풍부혈장,신선동결혈장,신선동결혈장,동결혈장,동결혈장,동결침전제제,동결침전제제,동결 침전물제거 혈장,동결 침전물제거 혈장,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,농축적혈구,농축적혈구,세척적혈구,세척적혈구,백혈구여과제거적혈구,백혈구여과제거적혈구,소계,소계,농축혈소판,농축혈소판,혈소판풍부혈장,혈소판풍부혈장,신선동결혈장,신선동결혈장,동결혈장,동결혈장,동결침전제제,동결침전제제,동결 침전물제거 혈장,동결 침전물제거 혈장,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,농축적혈구,농축적혈구,세척적혈구,세척적혈구,백혈구여과제거적혈구,백혈구여과제거적혈구,소계,소계,농축혈소판,농축혈소판,혈소판풍부혈장,혈소판풍부혈장,신선동결혈장,신선동결혈장,동결혈장,동결혈장,동결침전제제,동결침전제제,동결 침전물제거 혈장,동결 침전물제거 혈장,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,농축적혈구,농축적혈구,세척적혈구,세척적혈구,백혈구여과제거적혈구,백혈구여과제거적혈구,소계,소계,농축혈소판,농축혈소판,혈소판풍부혈장,혈소판풍부혈장,신선동결혈장,신선동결혈장,동결혈장,동결혈장,동결침전제제,동결침전제제,동결 침전물제거 혈장,동결 침전물제거 혈장,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,농축적혈구,농축적혈구,세척적혈구,세척적혈구,백혈구여과제거적혈구,백혈구여과제거적혈구,소계,소계,농축혈소판,농축혈소판,혈소판풍부혈장,혈소판풍부혈장,신선동결혈장,신선동결혈장,동결혈장,동결혈장,동결침전제제,동결침전제제,동결 침전물제거 혈장,동결 침전물제거 혈장,소계,소계,소계,소계,소계,소계
"혈액원별(1)","수혈용량별(1)",혈액량 (unit),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%),혈액량 (unit),구성비 (%)
"합계","합계",4048199,1218,0.0,3849783,95.1,1730519,42.7,2219,0.1,215361,5.3,1087,0.0,1250336,30.9,7,0.0,573284,14.2,75859,1.9,1111,0.0,197198,4.9,3920575,1033,-,3702820,94.4,1658430,42.3,2117,0.1,241168,6.2,329,-,1165399,29.7,44,-,552142,14.1,-,-,82496,2.1,695,-,216722,5.5,4136518,901,-,3931487,95.0,1630305,39.4,2038,-,274026,6.6,238,-,1409106,34.1,18,-,532712,12.9,-,-,82902,2.0,142,-,204130,4.9,4277762,764,-,4072242,95.2,1600656,37.4,1806,-,301918,7.1,73,-,1547181,36.2,8,-,530650,12.4,-,-,89195,2.1,755,-,204756,4.8,204621,4.8,135,-,4354132,678,-,4146367,95.2,1557588,35.8,1978,-,353602,8.1,284,-,1613794,37.1,19,-,532524,12.2,-,-,86524,2.0,54,-,207087,4.8,206815,4.7,272,-,4129790,483,-,3913841,94.8,1416513,34.3,1746,-,371740,9.0,137,-,1511622,36.6,27,-,523682,12.7,-,-,88126,2.1,248,-,215466,5.2,215344,5.2,122,-,4235541,275,0.0,4004973,94.6,1390445,32.8,1646,0.0,397185,9.4,165,0.0,1596400,37.7,46,0.0,521626,12.3,-,-,97460,2.3,-,-,230293,5.4,230168,5.4,125,0.0,4176012,172,0.0,3944918,94.5,1374115,32.9,1013,0.0,405088,9.7,42,0.0,1550253,37.1,9,0.0,508526,12.2,-,-,105584,2.5,288,0.0,230922,5.5,230891,5.5,31,0.0,4248924,136,0.0,3988884,93.9,1355622,31.9,1277,0.0,447510,10.5,72,0.0,1558876,36.7,-,-,519502,12.2,-,-,106025,2.5,-,-,259904,6.1,259498,6.1,406,0.0,3996018,141,0.0,3740214,93.6,1357086,34.0,812,0.0,406924,10.2,27,0.0,1457417,36.5,-,-,424421,10.6,-,-,93527,2.3,-,-,255663,6.4,255467,6.4,196,0.0
"합계","320mL",1324302,439,0.0,1323863,100.0,815178,61.6,57,0.0,-,-,341,0.0,483676,36.5,1,0.0,10569,0.8,14041,1.1,-,-,-,-,1199644,331,-,1199313,100.0,736036,61.4,34,-,-,-,103,-,438145,36.5,-,-,11071,0.9,-,-,13924,1.2,-,-,-,-,1287148,218,-,1286930,100.0,719861,55.9,63,-,-,-,38,-,547261,42.5,3,-,6646,0.5,-,-,13058,1.0,-,-,-,-,1340479,224,-,1340255,100.0,714133,53.3,86,-,-,-,3,-,606680,45.3,-,-,7136,0.5,-,-,12216,0.9,1,-,-,-,-,-,-,-,1393906,96,-,1393810,100.0,729016,52.3,54,-,-,-,52,-,644423,46.2,-,-,7991,0.6,-,-,12274,0.9,-,-,-,-,-,-,-,-,1169409,63,-,1169346,100.0,612484,52.4,26,-,-,-,12,-,540141,46.2,-,-,8274,0.7,-,-,8409,0.7,-,-,-,-,-,-,-,-,1250385,49,0.0,1250336,100.0,638122,51.0,20,0.0,-,-,-,-,593401,47.5,-,-,9385,0.8,-,-,9408,0.8,-,-,-,-,-,-,-,-,1311651,26,0.0,1311625,100.0,677957,51.7,8,0.0,-,-,30,0.0,613949,46.8,-,-,11871,0.9,-,-,7810,0.6,-,-,-,-,-,-,-,-,1295633,13,0.0,1295620,100.0,674016,52.0,43,0.0,-,-,23,0.0,604010,46.6,-,-,6886,0.5,-,-,10642,0.8,-,-,-,-,-,-,-,-,1086723,10,0.0,1086713,100.0,588939,54.2,9,0.0,-,-,3,0.0,486911,44.8,-,-,2969,0.3,-,-,7882,0.7,-,-,-,-,-,-,-,-
"합계","400mL",2526699,779,0.0,2525920,100.0,915341,36.2,2162,0.1,215361,8.5,746,0.0,766660,30.3,6,0.0,562715,22.3,61818,2.4,1111,0.0,-,-,2504209,702,-,2503507,100.0,922394,36.8,2083,0.1,241168,9.6,226,-,727254,29.0,44,-,541071,21.6,-,-,68572,2.7,695,-,-,-,2645240,683,-,2644557,100.0,910444,34.4,1975,0.1,274026,10.4,200,-,861845,32.6,15,-,526066,19.9,-,-,69844,2.6,142,-,-,-,2732527,540,-,2731987,100.0,886523,32.4,1720,0.1,301918,11.0,70,-,940501,34.4,8,-,523514,19.2,-,-,76979,2.8,754,-,-,-,-,-,-,-,2753139,582,-,2752557,100.0,828572,30.1,1924,0.1,353602,12.8,232,-,969371,35.2,19,-,524533,19.1,-,-,74250,2.7,54,-,-,-,-,-,-,-,2744915,420,-,2744495,100.0,804029,29.3,1720,0.1,371740,13.5,125,-,971481,35.4,27,-,515408,18.8,-,-,79717,2.9,248,-,-,-,-,-,-,-,2754863,226,0.0,2754637,100.0,752323,27.3,1626,0.1,397185,14.4,165,0.0,1002999,36.4,46,0.0,512241,18.6,-,-,88052,3.2,-,-,-,-,-,-,-,-,2633439,146,0.0,2633293,100.0,696158,26.4,1005,0.0,405088,15.4,12,0.0,936304,35.6,9,0.0,496655,18.9,-,-,97774,3.7,288,0.0,-,-,-,-,-,-,2693387,123,0.0,2693264,100.0,681606,25.3,1234,0.0,447510,16.6,49,0.0,954866,35.5,-,-,512616,19.0,-,-,95383,3.5,-,-,-,-,-,-,-,-,2653632,131,0.0,2653501,100.0,768147,28.9,803,0.0,406924,15.3,24,0.0,970506,36.6,-,-,421452,15.9,-,-,85645,3.2,-,-,-,-,-,-,-,-
"서울중앙","합계",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,643230,12,-,590736,91.8,174616,27.1,967,0.2,71165,11.1,12,-,239154,37.2,-,-,91562,14.2,-,-,12826,2.0,434,0.1,52482,8.2,52482,8.2,-,-,652496,9,-,600904,92.1,169867,26.0,825,0.1,80027,12.3,14,-,249824,38.3,-,-,84776,13.0,-,-,15571,2.4,-,-,51583,7.9,51583,7.9,-,-,586914,8,-,534969,91.1,135408,23.1,873,0.1,81814,13.9,5,-,212551,36.2,-,-,90981,15.5,-,-,13337,2.3,-,-,51937,8.8,51937,8.8,-,-,636367,2,0.0,579356,91.0,137215,21.6,951,0.1,87184,13.7,-,-,244137,38.4,-,-,95716,15.0,-,-,14153,2.2,-,-,57009,9.0,57001,9.0,8,0.0,633414,23,0.0,575003,90.8,133217,21.0,266,0.0,93096,14.7,-,-,232133,36.6,-,-,95486,15.1,-,-,20805,3.3,-,-,58388,9.2,58384,9.2,4,0.0,644426,2,0.0,579597,89.9,132230,20.5,240,0.0,103855,16.1,9,0.0,220209,34.2,-,-,100058,15.5,-,-,22996,3.6,-,-,64827,10.1,64595,10.0,232,0.0,568646,2,0.0,499112,87.8,122309,21.5,176,0.0,96476,17.0,-,-,172783,30.4,-,-,83696,14.7,-,-,23672,4.2,-,-,69532,12.2,69453,12.2,79,0.0
"서울중앙","320mL",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,171473,12,-,171461,100.0,80786,47.1,79,-,-,-,-,-,88011,51.3,-,-,1181,0.7,-,-,1403,0.8,1,-,-,-,-,-,-,-,184855,9,-,184846,100.0,84473,45.7,44,-,-,-,4,-,96806,52.4,-,-,1991,1.1,-,-,1528,0.8,-,-,-,-,-,-,-,-,149335,8,-,149327,100.0,66656,44.6,17,-,-,-,4,-,77381,51.8,-,-,4265,2.9,-,-,1004,0.7,-,-,-,-,-,-,-,-,172801,2,0.0,172799,100.0,71850,41.6,6,0.0,-,-,-,-,94212,54.5,-,-,5502,3.2,-,-,1229,0.7,-,-,-,-,-,-,-,-,184673,20,0.0,184653,100.0,78734,42.6,5,0.0,-,-,-,-,97951,53.0,-,-,6286,3.4,-,-,1677,0.9,-,-,-,-,-,-,-,-,170753,2,0.0,170751,100.0,77465,45.4,41,0.0,-,-,3,0.0,88933,52.1,-,-,1904,1.1,-,-,2405,1.4,-,-,-,-,-,-,-,-,125878,1,0.0,125877,100.0,64239,51.0,5,0.0,-,-,-,-,58566,46.5,-,-,1051,0.8,-,-,2016,1.6,-,-,-,-,-,-,-,-
