year,month,donation,date
2015,1,257355,2015-01-01
2015,2,211203,2015-02-01
2015,3,264282,2015-03-01
2015,4,253150,2015-04-01
2015,5,276784,2015-05-01
2015,6,245719,2015-06-01
2015,7,274766,2015-07-01
2015,8,257409,2015-08-01
2015,9,249808,2015-09-01
2015,10,272533,2015-10-01
2015,11,266969,2015-11-01
2015,12,252940,2015-12-01
2016,1,248426,2016-01-01
2016,2,202169,2016-02-01
2016,3,253121,2016-03-01
2016,4,237131,2016-04-01
2016,5,251621,2016-05-01
2016,6,223390,2016-06-01
2016,7,244890,2016-07-01
2016,8,228521,2016-08-01
2016,9,218522,2016-09-01
2016,10,256912,2016-10-01
2016,11,248332,2016-11-01
2016,12,253295,2016-12-01
2017,1,219578,2017-01-01
2017,2,219624,2017-02-01
2017,3,255102,2017-03-01
2017,4,234293,2017-04-01
2017,5,279611,2017-05-01
2017,6,233108,2017-06-01
2017,7,262994,2017-07-01
2017,8,247719,2017-08-01
2017,9,246422,2017-09-01
2017,10,221593,2017-10-01
2017,11,253468,2017-11-01
2017,12,255158,2017-12-01
2018,1,237893,2018-01-01
2018,2,208722,2018-02-01
2018,3,257191,2018-03-01
2018,4,237446,2018-04-01
2018,5,265300,2018-05-01
2018,6,228152,2018-06-01
2018,7,248124,2018-07-01
2018,8,230871,2018-08-01
2018,9,228858,2018-09-01
2018,10,240652,2018-10-01
2018,11,265668,2018-11-01
2018,12,234393,2018-12-01
2019,1,238712,2019-01-01
2019,2,197949,2019-02-01
2019,3,234119,2019-03-01
2019,4,228082,2019-04-01
2019,5,254986,2019-05-01
2019,6,224933,2019-06-01
2019,7,243983,2019-07-01
2019,8,235244,2019-08-01
2019,9,212622,2019-09-01
2019,10,239142,2019-10-01
2019,11,244865,2019-11-01
2019,12,236455,2019-12-01
2020,1,206758,2020-01-01
2020,2,199657,2020-02-01
2020,3,208239,2020-03-01
2020,4,193247,2020-04-01
2020,5,231927,2020-05-01
2020,6,226746,2020-06-01
2020,7,231564,2020-07-01
2020,8,224448,2020-08-01
2020,9,215954,2020-09-01
2020,10,216183,2020-10-01
2020,11,222658,2020-11-01
2020,12,234020,2020-12-01
2021,1,213118,2021-01-01
2021,2,189312,2021-02-01
2021,3,233403,2021-03-01
2021,4,215655,2021-04-01
2021,5,229930,2021-05-01
2021,6,212800,2021-06-01
2021,7,217441,2021-07-01
2021,8,214344,2021-08-01
2021,9,206859,2021-09-01
2021,10,208673,2021-10-01
2021,11,226440,2021-11-01
2021,12,236462,2021-12-01
2022,1,189598,2022-01-01
2022,2,179817,2022-02-01
2022,3,194685,2022-03-01
2022,4,227266,2022-04-01
2022,5,250118,2022-05-01
2022,6,215279,2022-06-01
2022,7,218473,2022-07-01
2022,8,216294,2022-08-01
2022,9,231658,2022-09-01
2022,10,235667,2022-10-01
2022,11,243440,2022-11-01
2022,12,246712,2022-12-01
2023,1,200795,2023-01-01
2023,2,209081,2023-02-01
2023,3,234387,2023-03-01
2023,4,220845,2023-04-01
2023,5,243688,2023-05-01
2023,6,232351,2023-06-01
2023,7,241955,2023-07-01
2023,8,239981,2023-08-01
2023,9,221477,2023-09-01
2023,10,235757,2023-10-01
2023,11,245270,2023-11-01
2023,12,250704,2023-12-01
2024,1,234109,2024-01-01
2024,2,218763,2024-02-01
2024,3,225443,2024-03-01
2024,4,228965,2024-04-01
2024,5,248325,2024-05-01
2024,6,233745,2024-06-01
2024,7,246981,2024-07-01
2024,8,239250,2024-08-01
2024,9,231908,2024-09-01
2024,10,241087,2024-10-01
2024,11,255373,2024-11-01
2024,12,251591,2024-12-01
2025,1,204853,2025-01-01
2025,2,219440,2025-02-01
2025,3,238294,2025-03-01
2025,4,233785,2025-04-01
2025,5,253723,2025-05-01
2025,6,241358,2025-06-01
2025,7,254046,2025-07-01
2025,8,242172,2025-08-01
2025,9,238785,2025-09-01
2025,10,225129,2025-10-01
2025,11,240244,2025-11-01
2025,12,247803,2025-12-01
